Subject,Trial,Angle,Time,Correct,Age,Sex
49,1,0,3107,1,32,M
49,2,150,2930,1,32,M
49,3,150,1874,1,32,M
49,4,100,3793,1,32,M
49,5,50,2184,1,32,M
49,6,50,1749,1,32,M
49,7,100,2592,0,32,M
49,8,0,2879,1,32,M
49,9,150,7281,1,32,M
49,10,150,2386,1,32,M
49,11,50,3805,1,32,M
49,12,0,1696,1,32,M
49,13,0,1440,1,32,M
49,14,100,2135,1,32,M
49,15,100,2661,1,32,M
49,16,50,1989,1,32,M
49,17,100,2144,1,32,M
49,18,150,3094,1,32,M
49,19,50,3388,1,32,M
49,20,50,1799,1,32,M
49,21,100,4289,1,32,M
49,22,0,2279,1,32,M
49,23,0,1528,1,32,M
49,24,150,3939,1,32,M
49,25,150,2659,1,32,M
49,26,50,3409,1,32,M
49,27,50,2613,1,32,M
49,28,100,2963,1,32,M
49,29,0,1258,1,32,M
49,30,0,2787,1,32,M
49,31,150,4431,1,32,M
49,32,100,4179,1,32,M
49,33,50,2364,1,32,M
49,34,100,2658,1,32,M
49,35,150,2443,1,32,M
49,36,0,2021,1,32,M
49,37,100,3099,1,32,M
49,38,150,3291,1,32,M
49,39,0,1696,1,32,M
49,40,50,3369,1,32,M
49,41,150,3324,1,32,M
49,42,0,2458,1,32,M
49,43,100,2611,1,32,M
49,44,150,4276,1,32,M
49,45,50,1798,1,32,M
49,46,100,3825,1,32,M
49,47,0,3090,1,32,M
49,48,50,2313,1,32,M
49,49,100,2706,1,32,M
49,50,150,1659,1,32,M
49,51,0,1085,1,32,M
49,52,0,1187,1,32,M
49,53,100,3695,1,32,M
49,54,50,1057,1,32,M
49,55,150,4240,1,32,M
49,56,50,1517,1,32,M
49,57,150,2749,1,32,M
49,58,100,2153,0,32,M
49,59,150,4295,1,32,M
49,60,100,2012,1,32,M
49,61,0,1246,1,32,M
49,62,0,3573,1,32,M
49,63,50,2427,1,32,M
49,64,50,2038,1,32,M
49,65,150,3910,1,32,M
49,66,0,1142,1,32,M
49,67,150,2492,1,32,M
49,68,0,2291,1,32,M
49,69,50,2106,1,32,M
49,70,50,2303,1,32,M
49,71,100,2477,1,32,M
49,72,100,2943,1,32,M
49,73,100,2034,1,32,M
49,74,100,2204,1,32,M
49,75,150,3446,1,32,M
49,76,0,2296,1,32,M
49,77,0,1871,1,32,M
49,78,50,2661,1,32,M
49,79,50,1320,1,32,M
49,80,150,4866,1,32,M
49,81,50,3019,1,32,M
49,82,0,1148,1,32,M
49,83,150,2097,1,32,M
49,84,50,1902,1,32,M
49,85,100,2158,1,32,M
49,86,0,2618,1,32,M
49,87,150,4693,1,32,M
49,88,100,2878,1,32,M
49,89,100,2070,0,32,M
49,90,50,4554,1,32,M
49,91,0,935,1,32,M
49,92,150,1840,1,32,M
49,93,150,2703,1,32,M
49,94,50,2141,1,32,M
49,95,100,1849,1,32,M
49,96,0,2442,1,32,M
40,1,0,2165,1,21,F
40,2,150,4028,1,21,F
40,3,150,3911,1,21,F
40,4,100,6650,1,21,F
40,5,50,3081,1,21,F
40,6,50,4584,1,21,F
40,7,100,4118,1,21,F
40,8,0,2539,1,21,F
40,9,150,4424,1,21,F
40,11,50,3083,1,21,F
40,12,0,1852,1,21,F
40,13,0,2004,1,21,F
40,14,100,2063,1,21,F
40,15,100,3558,1,21,F
40,16,50,2348,1,21,F
40,17,100,3890,1,21,F
40,18,150,3210,1,21,F
40,19,50,2124,1,21,F
40,20,50,2514,1,21,F
40,21,100,2015,1,21,F
40,22,0,2553,1,21,F
40,23,0,3188,1,21,F
40,24,150,3009,1,21,F
40,25,150,3257,1,21,F
40,26,50,2797,1,21,F
40,27,50,4320,1,21,F
40,28,100,4888,1,21,F
40,29,0,2037,1,21,F
40,30,0,3990,1,21,F
40,31,150,4549,0,21,F
40,32,100,4848,1,21,F
40,33,50,2966,1,21,F
40,34,100,6631,1,21,F
40,35,150,6713,1,21,F
40,36,0,2182,1,21,F
40,37,100,3812,1,21,F
40,38,150,5613,1,21,F
40,39,0,1680,1,21,F
40,40,50,3701,1,21,F
40,41,150,5292,1,21,F
40,42,0,2300,1,21,F
40,43,100,2413,1,21,F
40,44,150,4696,1,21,F
40,45,50,2264,1,21,F
